id,title,year,n_persons,kpt_bbox_area_frac,limb_asymmetry,mean_kpt_confidence,box,keypoints,error
324153,The Shadow Laughs,1933,2,1.0007,0.2082,0.609,"[32.1, 426.2, 289.2, 747.2]","[[325.2, 520.2, 0.662], [338.8, 511.6, 0.764], [312.5, 508.5, 0.688], [351.6, 521.4, 0.724], [115.6, 482.9, 0.617], [364.9, 578.9, 0.72], [261.6, 579.8, 0.666], [402.0, 637.7, 0.761], [246.7, 652.0, 0.468], [364.8, 660.3, 0.645], [72.9, 623.3, 0.685], [312.4, 698.1, 0.386], [119.0, 669.6, 0.324], [247.6, 696.6, 0.653], [254.8, 691.6, 0.736], [139.0, 733.9, 0.613], [141.3, 739.2, 0.247]]",
324621,The Return,1980,0,,,,,,
325622,The Hound of the Baskervilles,1921,5,0.2891,0.004,0.78,"[262.1, 133.1, 500.0, 748.5]","[[402.2, 227.8, 1.059], [412.6, 215.6, 0.974], [401.9, 212.9, 0.971], [447.0, 218.0, 0.913], [433.5, 220.0, 0.563], [479.9, 288.0, 0.864], [446.7, 289.1, 0.844], [474.5, 411.9, 0.74], [430.8, 403.5, 0.784], [433.9, 492.8, 0.718], [408.9, 484.7, 0.927], [470.1, 498.5, 0.814], [443.3, 497.7, 0.672], [481.5, 639.6, 0.638], [465.1, 639.2, 0.664], [484.0, 728.8, 0.575], [475.1, 727.3, 0.537]]",
340758,Never Mention Murder,1965,9,1.5427,0.0721,0.446,"[200.7, 61.3, 354.9, 391.3]","[[463.5, 216.1, 0.671], [274.7, 133.2, 0.599], [455.2, 197.4, 0.688], [301.8, 129.5, 0.946], [400.9, 196.5, 0.497], [273.2, 225.6, 0.801], [366.3, 243.4, 0.356], [240.1, 364.4, 0.949], [439.5, 385.9, 0.498], [204.6, 322.5, 0.302], [422.0, 331.7, 0.156], [288.8, 421.1, 0.43], [365.7, 432.7, 0.351], [227.1, 412.6, 0.103], [330.8, 557.2, 0.095], [252.4, 509.0, 0.065], [397.9, 510.7, 0.073]]",
361975,The Hoop of Bermuda,1988,1,0.661,0.0141,0.721,"[90.5, 250.0, 415.6, 749.8]","[[244.0, 352.3, 0.96], [260.9, 333.2, 1.018], [226.8, 332.0, 0.952], [287.3, 341.2, 0.931], [199.8, 342.4, 1.005], [342.2, 453.4, 0.964], [147.7, 451.0, 0.946], [376.4, 588.4, 0.909], [110.0, 615.0, 0.772], [381.7, 646.4, 0.718], [153.1, 684.4, 0.558], [313.9, 726.8, 0.969], [184.0, 727.3, 0.927], [355.0, 728.5, 0.113], [140.2, 718.7, 0.298], [369.3, 724.9, 0.088], [156.5, 716.4, 0.128]]",
382290,M・Y・F・A・C・E,2005,0,,,,,,
440871,Ghost Valley Raiders,1940,6,0.3686,0.0202,0.591,"[169.5, 200.3, 469.4, 742.6]","[[405.9, 301.4, 0.976], [422.1, 287.9, 0.962], [405.3, 285.3, 0.942], [462.4, 298.8, 0.951], [405.9, 287.5, 0.595], [480.0, 371.5, 0.756], [403.3, 362.3, 0.763], [448.1, 480.7, 0.466], [374.0, 459.6, 0.392], [423.6, 597.5, 0.339], [363.8, 541.9, 0.242], [455.3, 551.5, 0.543], [386.4, 539.2, 0.587], [390.3, 695.6, 0.483], [347.3, 697.2, 0.314], [369.7, 737.1, 0.445], [461.3, 707.3, 0.286]]",
444713,Commando 2 - The Black Money Trail,2017,1,0.7446,0.0343,0.948,"[168.0, 146.3, 363.4, 706.8]","[[258.1, 206.1, 0.999], [266.6, 194.1, 0.996], [245.3, 196.6, 1.035], [279.1, 195.4, 0.961], [219.5, 199.9, 1.012], [311.3, 261.0, 1.006], [197.6, 256.9, 0.939], [341.5, 348.0, 0.96], [178.9, 321.0, 0.899], [323.3, 425.8, 0.947], [166.2, 393.8, 0.999], [298.6, 408.9, 0.957], [228.2, 405.0, 0.93], [292.8, 529.8, 1.034], [225.1, 520.6, 0.986], [238.5, 575.0, 0.565], [225.3, 659.3, 0.9]]",
453424,Dr. Masher,1969,5,1.0728,0.1866,0.429,"[149.7, 605.8, 341.2, 744.7]","[[240.1, 673.0, 0.97], [260.8, 651.7, 0.907], [217.0, 655.6, 0.999], [291.7, 670.2, 0.854], [191.7, 681.9, 0.911], [316.9, 758.0, 0.545], [169.7, 765.5, 0.562], [430.6, 732.2, 0.089], [158.0, 906.0, 0.072], [420.6, 746.9, 0.39], [118.4, 743.2, 0.204], [327.0, 1057.8, 0.167], [245.8, 1063.1, 0.103], [322.1, 1132.3, 0.135], [253.4, 1147.0, 0.134], [321.8, 1254.7, 0.103], [271.6, 1250.9, 0.146]]",
459420,The Four Just Men,1921,8,1.8809,0.1292,0.584,"[61.9, 282.1, 172.1, 562.4]","[[151.8, 321.7, 0.886], [155.9, 315.5, 0.869], [148.3, 311.4, 0.863], [131.9, 307.9, 0.682], [133.0, 308.7, 0.916], [97.6, 334.9, 0.533], [121.8, 337.5, 0.828], [184.1, 370.5, 0.318], [114.2, 379.9, 0.651], [225.8, 377.3, 0.557], [145.4, 421.4, 0.59], [77.0, 449.7, 0.534], [93.9, 452.7, 0.491], [86.7, 599.3, 0.255], [101.6, 597.0, 0.348], [94.5, 697.4, 0.276], [111.3, 698.5, 0.336]]",
482337,Benaam,1999,6,0.7607,0.0369,0.937,"[0.0, 94.7, 243.2, 718.0]","[[86.3, 162.7, 0.991], [94.7, 148.0, 0.991], [69.6, 151.9, 0.98], [107.9, 151.0, 0.967], [44.6, 162.6, 1.001], [158.6, 210.9, 0.913], [25.2, 241.0, 0.947], [217.7, 280.0, 0.951], [12.2, 341.1, 0.94], [150.1, 313.5, 0.897], [32.9, 421.8, 0.977], [167.3, 398.6, 0.87], [78.4, 411.6, 0.87], [228.0, 513.2, 0.952], [30.6, 544.6, 0.962], [229.7, 644.2, 0.786], [54.2, 678.5, 0.943]]",
483586,Rites of Blood,2004,0,,,,,,
510733,The Ghost Breaker,1922,3,0.3184,0.0304,0.42,"[17.9, 365.6, 253.1, 711.2]","[[169.0, 482.8, 0.503], [164.4, 474.6, 0.497], [152.2, 474.3, 0.617], [176.9, 489.6, 0.435], [117.3, 490.9, 0.623], [187.9, 546.5, 0.548], [106.9, 547.3, 0.648], [188.0, 607.2, 0.368], [83.4, 596.0, 0.435], [123.9, 616.3, 0.543], [84.0, 607.7, 0.305], [189.2, 669.3, 0.323], [96.2, 665.8, 0.287], [310.2, 695.8, 0.203], [327.0, 700.4, 0.162], [82.6, 683.2, 0.274], [68.6, 688.9, 0.368]]",
517574,Doombeach,1989,0,,,,,,
535249,Our Correspondent,1959,2,0.8505,0.0115,0.514,"[18.6, 0.0, 338.2, 653.0]","[[270.0, 100.0, 0.997], [285.5, 77.2, 0.998], [246.0, 71.1, 0.991], [297.7, 80.5, 0.588], [183.4, 67.3, 0.923], [315.8, 209.9, 0.594], [79.1, 239.3, 0.865], [371.5, 341.9, 0.518], [72.3, 478.2, 0.463], [417.5, 318.9, 0.435], [164.1, 570.6, 0.252], [313.1, 545.7, 0.36], [162.2, 581.4, 0.404], [285.1, 733.1, 0.114], [151.0, 740.7, 0.101], [284.9, 741.1, 0.059], [143.1, 741.1, 0.072]]",
539980,Maigret at the Minister,1987,2,0.8333,0.0436,0.473,"[189.5, 256.1, 498.7, 627.9]","[[290.2, 405.7, 0.965], [336.2, 383.6, 0.939], [287.8, 370.8, 0.991], [426.2, 414.5, 0.944], [274.0, 365.6, 0.56], [482.5, 518.7, 0.55], [226.6, 471.2, 0.745], [471.4, 707.4, 0.325], [184.1, 619.8, 0.297], [464.3, 558.8, 0.351], [331.0, 560.5, 0.082], [444.2, 740.0, 0.486], [263.3, 739.7, 0.419], [178.8, 593.0, 0.045], [194.3, 594.5, 0.217], [310.0, 712.1, 0.057], [304.9, 695.4, 0.062]]",
547231,Pizza Hunt,2003,1,0.6774,0.0083,0.906,"[17.9, 154.7, 163.5, 531.0]","[[110.9, 192.3, 0.737], [94.0, 184.6, 0.587], [113.1, 184.8, 0.805], [73.5, 186.3, 0.944], [111.8, 187.8, 0.934], [53.7, 227.9, 0.945], [122.0, 226.8, 0.988], [33.7, 290.1, 1.029], [138.7, 287.8, 0.971], [35.0, 343.8, 0.942], [150.6, 343.8, 0.947], [62.4, 345.4, 0.867], [110.1, 342.7, 0.862], [56.8, 420.1, 0.887], [119.0, 423.8, 0.981], [44.3, 501.7, 0.959], [127.3, 502.2, 1.01]]",
548084,The Perfect Murder,1992,0,,,,,,
630737,2099: The Soldier Protocol,2019,1,0.6123,0.0068,0.526,"[0.0, 38.2, 486.6, 716.1]","[[245.8, 206.4, 0.974], [274.4, 173.7, 0.987], [219.2, 173.2, 0.992], [320.2, 171.2, 0.918], [186.8, 175.3, 0.899], [421.0, 325.7, 0.688], [87.3, 325.3, 0.631], [514.4, 331.6, 0.237], [10.8, 535.7, 0.2], [432.0, 226.2, 0.707], [60.2, 228.9, 0.491], [366.7, 708.6, 0.459], [132.8, 714.4, 0.496], [451.8, 590.2, 0.052], [43.2, 587.0, 0.043], [429.9, 234.1, 0.079], [67.4, 217.4, 0.096]]",
633786,Faulty Father,2019,1,0.8006,0.0568,0.434,"[8.1, 299.2, 494.5, 744.1]","[[284.0, 497.0, 0.964], [314.6, 456.9, 0.983], [241.4, 456.9, 0.989], [342.5, 470.8, 0.879], [180.2, 473.0, 0.972], [441.8, 662.3, 0.825], [79.8, 678.6, 0.809], [492.7, 857.6, 0.176], [40.9, 889.0, 0.3], [430.1, 1010.8, 0.025], [110.2, 1058.5, 0.044], [385.9, 1080.4, 0.141], [153.7, 1086.2, 0.138], [461.0, 698.8, 0.069], [72.4, 676.2, 0.036], [412.4, 745.0, 0.009], [456.1, 592.8, 0.015]]",
651517,Riverdead,2007,0,,,,,,
668985,Who Killed Eve?,1934,4,0.1188,0.0083,0.593,"[0.4, 339.3, 383.6, 749.3]","[[66.4, 728.3, 0.845], [61.5, 728.4, 0.768], [58.1, 729.6, 0.81], [62.2, 728.7, 0.74], [65.1, 737.4, 0.701], [104.1, 730.9, 0.554], [118.1, 738.6, 0.593], [231.7, 731.0, 0.791], [229.1, 731.3, 0.922], [321.3, 712.9, 0.655], [322.4, 714.8, 0.818], [218.5, 671.5, 0.559], [219.6, 677.2, 0.485], [93.5, 668.3, 0.134], [315.3, 666.1, 0.119], [336.4, 713.9, 0.339], [333.5, 713.1, 0.249]]",
747083,Noite de Lamentações (Night of Wails),2020,0,,,,,,
752825,The Demon,1970,0,,,,,,
752851,Case of a Young Lord 7: Red Crane House,1958,3,0.8303,0.0889,0.45,"[211.6, 226.4, 450.6, 748.7]","[[373.3, 376.9, 0.87], [401.7, 352.0, 0.941], [350.9, 336.2, 0.887], [422.9, 364.0, 0.778], [305.1, 340.6, 0.766], [413.1, 520.3, 0.759], [227.2, 472.7, 0.355], [390.3, 715.4, 0.519], [237.7, 297.8, 0.185], [286.4, 575.7, 0.377], [349.9, 185.9, 0.448], [356.0, 749.6, 0.214], [253.4, 734.3, 0.222], [459.3, 717.1, 0.079], [448.4, 638.7, 0.07], [348.4, 701.6, 0.089], [460.4, 700.3, 0.084]]",
781001,That,2012,0,,,,,,
789473,The Mysterious Mr. Hyde,1964,2,0.4906,0.0684,0.63,"[93.2, 488.3, 331.9, 729.5]","[[228.3, 569.7, 0.859], [241.6, 558.6, 0.927], [218.8, 556.3, 0.953], [258.0, 558.4, 0.842], [203.5, 551.8, 0.89], [285.7, 599.2, 0.723], [167.7, 597.9, 0.901], [293.2, 682.0, 0.733], [137.6, 683.4, 0.622], [271.2, 707.3, 0.535], [136.5, 720.1, 0.428], [259.8, 728.7, 0.765], [185.3, 732.0, 0.659], [279.4, 709.2, 0.656], [276.6, 700.6, 0.143], [398.8, 704.2, 0.023], [227.5, 714.6, 0.047]]",
795813,I'm Your Man,2021,3,0.5793,0.2338,0.518,"[0.0, 379.3, 495.3, 745.5]","[[336.9, 413.7, 0.907], [371.3, 420.9, 0.966], [346.3, 406.8, 0.827], [396.2, 489.6, 0.988], [298.6, 437.5, 0.589], [339.4, 568.5, 0.834], [234.4, 498.4, 0.54], [494.6, 562.6, 0.795], [67.2, 540.4, 0.316], [486.5, 506.1, 0.083], [24.6, 539.1, 0.398], [53.4, 623.9, 0.687], [10.5, 567.3, 0.712], [-2.8, 732.2, 0.091], [38.6, 605.7, 0.018], [-9.1, 724.6, 0.027], [-1.8, 716.7, 0.024]]",
872243,Darkman,1992,1,0.63,0.0222,0.62,"[82.5, 412.0, 370.8, 759.5]","[[267.8, 498.9, 0.958], [280.0, 480.7, 0.979], [251.2, 482.9, 0.969], [293.5, 489.5, 0.943], [218.9, 491.7, 0.924], [304.8, 577.3, 0.92], [169.9, 588.7, 0.848], [339.1, 694.9, 0.876], [130.5, 711.6, 0.734], [350.0, 756.4, 0.747], [123.7, 755.9, 0.228], [299.8, 765.9, 0.532], [190.1, 768.2, 0.522], [310.9, 950.8, 0.107], [210.0, 974.2, 0.087], [302.0, 1077.4, 0.075], [223.6, 1068.9, 0.086]]",
921652,Body of Ashes,2022,1,0.6903,0.0068,0.514,"[4.3, 55.1, 496.2, 750.0]","[[241.9, 246.4, 0.931], [279.9, 209.5, 0.999], [207.1, 209.9, 0.975], [327.4, 231.9, 0.982], [157.3, 236.2, 0.979], [464.6, 468.8, 0.869], [36.5, 473.6, 0.819], [474.5, 729.6, 0.827], [21.7, 730.6, 0.793], [363.8, 730.5, 0.078], [152.9, 722.3, 0.079], [358.9, 758.6, 0.135], [135.3, 758.6, 0.104], [276.2, 696.7, 0.02], [198.4, 692.6, 0.015], [345.0, 718.4, 0.057], [161.6, 708.4, 0.074]]",
929912,Droga Digitale,2022,1,0.7101,0.0402,0.572,"[0.5, 0.0, 495.4, 743.0]","[[244.1, 165.8, 0.931], [289.1, 140.0, 0.971], [208.9, 126.7, 0.941], [339.1, 175.6, 0.953], [145.3, 155.6, 0.984], [438.9, 413.1, 0.775], [53.8, 339.5, 0.802], [466.8, 683.5, 0.578], [37.4, 483.8, 0.434], [425.3, 731.9, 0.059], [119.6, 343.1, 0.795], [365.8, 734.8, 0.553], [142.3, 731.9, 0.712], [29.6, 695.1, 0.033], [6.6, 694.4, 0.079], [67.9, 700.0, 0.067], [138.4, 718.6, 0.062]]",
938049,Donor,2021,0,,,,,,
990167,Dead Pigeon on Beethoven Street,1972,3,0.4403,0.0172,0.804,"[0.0, 245.4, 493.7, 583.0]","[[63.6, 418.5, 0.95], [55.4, 405.1, 0.962], [51.9, 425.5, 1.012], [68.4, 391.2, 0.966], [54.8, 444.6, 0.898], [133.5, 381.4, 0.896], [103.4, 465.1, 0.919], [226.0, 407.6, 0.754], [177.9, 484.2, 0.596], [231.3, 476.4, 0.883], [162.2, 425.1, 0.944], [265.2, 455.5, 0.523], [249.1, 495.6, 0.679], [335.7, 497.0, 0.72], [335.3, 512.0, 0.675], [460.3, 550.0, 0.588], [465.3, 558.9, 0.699]]",
1013699,The Shining Pyramid,1979,0,,,,,,
1068455,All That You Love Will Be Carried Away,2019,0,,,,,,
1075682,Three Silhouettes in Black,1985,0,,,,,,
1114351,Actual Record! Real Horror Posted Video 31,2016,0,,,,,,
1156131,두번째 상봉,1967,2,0.4677,0.0662,0.692,"[70.6, 356.7, 320.8, 730.7]","[[182.7, 446.7, 0.976], [194.4, 429.9, 0.983], [168.3, 434.2, 0.968], [219.3, 432.1, 0.968], [153.2, 440.8, 1.017], [263.7, 503.3, 0.906], [146.2, 511.1, 0.982], [251.6, 603.3, 0.867], [107.3, 588.8, 0.568], [146.3, 595.6, 0.979], [106.4, 611.5, 0.491], [227.3, 705.0, 0.789], [152.0, 708.0, 0.776], [209.9, 757.5, 0.161], [99.5, 742.0, 0.168], [126.4, 735.6, 0.063], [110.6, 747.4, 0.107]]",
1225036,Ha Khel Savlyancha,1976,3,0.3626,,0.359,"[37.4, 300.1, 496.1, 749.0]","[[231.0, 523.3, 0.948], [325.1, 524.3, 0.974], [255.1, 453.8, 0.972], [428.6, 613.1, 0.781], [238.0, 435.5, 0.718], [323.0, 745.5, 0.22], [118.5, 676.3, 0.706], [381.1, 715.1, 0.021], [22.8, 711.6, 0.168], [32.1, 723.2, 0.083], [21.9, 716.6, 0.198], [37.2, 705.8, 0.011], [26.0, 705.0, 0.016], [140.3, 710.4, 0.059], [118.0, 687.7, 0.077], [43.2, 707.4, 0.081], [123.4, 688.1, 0.074]]",
1487521,Conserva,2025,0,,,,,,
1494221,Sticks and Stones: Investigating the Blair Witch,1999,0,,,,,,
1577810,Pandora's Box,2025,1,0.6339,0.2471,0.48,"[7.0, 319.1, 497.1, 745.2]","[[277.9, 439.1, 1.009], [317.2, 412.5, 0.937], [257.1, 412.1, 0.99], [379.9, 444.7, 0.908], [235.2, 442.9, 0.918], [476.6, 639.4, 0.769], [155.5, 630.2, 0.882], [514.1, 848.0, 0.166], [49.6, 714.0, 0.34], [474.5, 1024.8, 0.009], [38.2, 530.1, 0.81], [388.0, 1087.1, 0.131], [171.8, 1066.4, 0.167], [455.6, 1138.0, 0.011], [53.9, 673.2, 0.085], [95.8, 603.3, 0.012], [94.3, 603.5, 0.017]]",
1615804,The Big Scoop: Challenge at Twilight,1959,5,0.7691,0.139,0.667,"[97.6, 130.0, 496.9, 642.0]","[[275.3, 284.7, 0.966], [304.2, 257.7, 0.968], [268.0, 253.1, 0.925], [394.6, 256.1, 0.966], [265.0, 238.2, 0.604], [476.8, 350.7, 0.846], [261.7, 341.7, 0.842], [485.7, 577.9, 0.841], [136.3, 518.1, 0.799], [354.7, 445.8, 0.897], [190.7, 438.5, 0.952], [451.0, 688.3, 0.718], [315.0, 664.1, 0.603], [264.3, 686.7, 0.046], [144.8, 698.4, 0.223], [246.6, 731.7, 0.075], [269.1, 734.7, 0.076]]",
1634691,Little Signs,2026,1,0.538,0.0396,0.698,"[37.8, 337.1, 129.0, 483.3]","[[94.4, 365.2, 0.879], [92.6, 358.0, 0.779], [92.0, 358.1, 0.886], [68.8, 352.3, 0.842], [84.4, 357.1, 0.885], [61.5, 377.5, 0.849], [73.8, 380.0, 0.949], [67.8, 432.9, 0.721], [65.9, 440.5, 0.764], [86.8, 454.2, 0.684], [97.5, 458.5, 0.858], [52.4, 466.4, 0.944], [65.4, 471.3, 0.788], [104.5, 463.4, 0.333], [112.6, 465.0, 0.335], [105.1, 473.3, 0.203], [110.0, 476.4, 0.162]]",
1638974,Fools in the Dark,1924,2,0.3768,0.1208,0.427,"[148.9, 366.0, 355.7, 546.0]","[[352.1, 474.5, 0.976], [373.6, 457.6, 0.945], [344.9, 455.4, 0.992], [412.8, 467.2, 0.863], [336.9, 457.4, 0.773], [467.1, 538.9, 0.909], [312.3, 546.0, 0.819], [478.1, 663.6, 0.233], [270.5, 653.9, 0.144], [458.5, 537.9, 0.12], [296.4, 546.9, 0.063], [425.7, 769.1, 0.158], [313.3, 778.1, 0.15], [394.7, 854.0, 0.022], [291.9, 829.8, 0.028], [125.0, 653.2, 0.011], [284.9, 841.5, 0.051]]",
1700685,This is Not an Exit,2025,0,,,,,,
